Depth,GR,Caliper,Ring resistivity,Porosity
34.8996,120.7321513,21.59,1.1329,0.54817284
35.052,123.6590084,21.59,1.1593,0.538481481
35.2044,120.6619271,21.59,1.1539,0.529993827
35.3568,120.9918052,21.59,1.158,0.515648148
35.5092,110.8202563,21.59,1.1941,0.519240741
35.6616,110.2890114,21.59,1.1868,0.522203704
35.814,103.5741609,21.59,1.0789,0.538876543
35.9664,105.9984495,21.59,1.0036,0.533061728
36.1188,106.938793,21.59,1.1047,0.544216049
36.2712,108.0244066,21.59,1.057,0.536246914
36.4236,109.2658028,21.59,1.0584,0.558395062
36.576,105.9135803,21.59,1.0448,0.544358025
36.7284,109.9451745,21.59,1.1051,0.550314815
36.8808,111.4317302,21.59,1.1187,0.541709877
37.0332,111.6367747,21.59,1.1335,0.543302469
37.1856,109.015702,21.59,1.1564,0.542839506
37.338,110.2559872,21.59,1.1071,0.543049383
37.4904,111.0817185,22.753066,1.1562,0.534080247
37.6428,113.2488752,22.635464,1.2065,0.528234568
37.7952,112.9616136,22.482302,1.1255,0.526617284
37.9476,116.3726273,22.384258,1.1937,0.551216049
38.1,115.73287,22.403562,1.1097,0.55612963
38.2524,118.5156452,22.623526,1.1257,0.558574074
38.4048,123.1317361,22.780244,1.1675,0.545006173
38.5572,124.4378134,22.996652,1.1616,0.525271605
38.7096,126.6193321,23.012908,1.1038,0.512518519
38.862,118.2513966,23.012908,1.0435,0.497111111
39.0144,117.7304168,23.012908,1.1445,0.514820988
39.1668,111.0739589,23.012908,1.1261,0.51595679
39.3192,110.7950727,23.012908,1.086,0.53432716
39.4716,110.9839116,23.012908,1.1055,0.525858025
39.624,117.3079803,23.012908,1.1203,0.544018519
39.7764,116.537887,23.012908,1.1316,0.526987654
39.9288,116.7702612,21.59,1.1324,0.533283951
40.0812,113.3205035,21.59,1.1011,0.51412963
40.2336,114.9884578,21.59,1.1185,0.530049383
40.386,109.8175583,21.59,1.1188,0.519895062
40.5384,111.0024339,21.59,1.0991,0.533234568
40.6908,109.7477231,21.59,1.1087,0.534339506
40.8432,114.359,21.59,1.1566,0.540858025
40.9956,112.3762919,21.59,1.1,0.532240741
41.148,113.930909,21.59,1.1582,0.517024691
41.3004,110.2350972,21.59,1.183,0.513395062
41.4528,109.9486676,21.59,1.3093,0.501740741
41.6052,109.8005408,21.59,1.1131,0.500506173
41.7576,110.744856,21.59,1.1636,0.497759259
41.91,110.9675327,21.59,1.1122,0.497895062
42.0624,107.7717243,21.59,1.112,0.510246914
42.2148,106.268437,21.59,1.1551,0.504728395
42.3672,105.5020788,21.59,1.1453,0.526888889
42.5196,107.6649193,21.59,1.1814,0.529240741
42.672,108.6188889,21.59,1.1856,0.536339506
42.8244,108.5938357,21.59,1.0821,0.533308642
42.9768,106.859635,21.59,1.0828,0.533950617
43.1292,105.4255544,21.59,0.9349,0.52808642
43.2816,104.1799312,21.59,1.1055,0.513845679
43.434,109.501996,21.59,1.113,0.49012963
43.5864,116.7107299,21.59,1.1372,0.496654321
43.7388,118.3801673,21.59,1.1435,0.499814815
43.8912,115.9785401,21.59,1.1188,0.513907407
44.0436,111.6646928,21.59,1.1249,0.515314815
44.196,112.7274632,21.59,1.1203,0.519493827
44.3484,109.7121579,22.62632,1.1882,0.506746914
44.5008,111.5227369,22.522434,1.207,0.507006173
44.6532,113.3679232,22.4155,1.1162,0.501777778
44.8056,116.6233753,22.4155,1.0326,0.507074074
44.958,113.6927003,22.4155,1.1038,0.503074074
45.1104,115.5475583,22.4155,1.1611,0.502555556
45.2628,111.6381267,22.454108,1.1645,0.514148148
45.4152,114.7593518,21.59,1.1393,0.518685185
45.5676,113.2644854,21.708364,1.1531,0.513141975
45.72,115.041559,23.029926,1.1378,0.498358025
45.8724,115.3747955,23.470362,1.1302,0.485790123
46.0248,115.1133607,23.433024,1.1619,0.493037037
46.1772,118.9663858,23.612348,1.1379,0.495080247
46.3296,120.5085757,23.472648,1.1693,0.500475309
46.482,119.7516951,23.43912,1.1719,0.508216049
46.6344,115.5987842,22.74316,1.1737,0.517012346
46.7868,112.0631303,22.600666,1.1574,0.529222222
46.9392,113.9683386,22.59711,1.1629,0.519104938
47.0916,119.2548495,22.919944,1.1576,0.520283951
47.244,120.7951512,22.928834,1.1627,0.50632716
47.3964,116.6583094,22.892004,1.155,0.522407407
47.5488,108.1689439,22.605238,1.1675,0.521993827
47.7012,107.1760905,22.463252,1.1675,0.524740741
47.8536,100.6234525,22.232874,1.176,0.508253086
48.006,103.0307517,22.521926,1.2313,0.492339506
48.1584,103.2244729,22.515068,1.1903,0.494925926
48.3108,109.7199693,22.729444,1.2095,0.499469136
48.4632,108.0002699,22.537674,1.2115,0.509666667
48.6156,103.8873837,22.662896,1.1956,0.50632716
48.768,105.0669541,22.37105,1.1776,0.491962963
48.9204,104.8048441,22.463506,1.2316,0.492932099
49.0728,106.2346514,22.281134,1.2076,0.495388889
49.2252,101.0306783,22.596602,1.208,0.507345679
49.3776,98.59849033,22.644354,1.2234,0.501166667
49.53,96.88959637,22.659086,1.114,0.506222222
49.6824,100.7064149,22.578568,1.1346,0.502475309
49.8348,105.4838377,22.492462,1.1561,0.500993827
49.9872,99.20430885,22.315678,1.1772,0.483740741
50.1396,98.8303974,22.155912,1.1494,0.473123457
