Depth,GR,Porosity,Caliper,Ring resistivity,MLT2_all_original,SD_all_original
57.7836,111.913423,0.474224344,23.64994,1.0406,1.651990182,0.924495579
57.936,113.3902132,0.47326969,23.981156,1.0419,1.659178164,0.921993058
58.0884,112.3281088,0.477923628,24.633428,1.0911,1.657249877,0.922659568
58.2408,111.2222818,0.483949881,24.496268,1.1354,1.622006995,0.935457976
58.3932,106.0857723,0.489498807,24.421084,1.224,1.606856745,0.94131189
58.5456,105.5298134,0.493138425,23.866094,1.0867,1.601267821,0.943523653
58.698,105.9466454,0.487529833,23.96109,1.1752,1.643405321,0.927548576
58.8504,111.8438589,0.483830549,23.994364,1.1643,1.659767968,0.921789902
59.0028,107.0917355,0.480071599,24.11476,1.1614,1.657897433,0.922435345
59.1552,104.6760773,0.484009547,24.721312,1.209,1.688271908,0.912372467
59.3076,101.7321537,0.491109785,25.168098,1.4146,1.671082937,0.917957173
59.46,104.4219164,0.504176611,25.650952,1.2061,1.679428841,0.91520952
59.6124,104.3506925,0.515990453,25.216612,1.0979,1.676488502,0.91616981
59.7648,100.420536,0.518138425,25.288494,1.0702,1.673852604,0.91703783
59.9172,97.27991842,0.514976134,25.122124,1.1391,1.670601425,0.918117761
60.0696,97.31412459,0.511097852,25.471374,1.1029,1.703899661,0.907547758
60.222,99.43057028,0.510143198,25.179782,1.1172,1.750416064,0.894649666
60.3744,100.45309,0.509606205,25.286208,1.0912,1.753544538,0.893862403
60.5268,96.58703386,0.502625298,24.839168,1.0187,1.733119987,0.899186145
60.6792,98.45213545,0.499582339,24.906478,1.0903,1.727843716,0.900631598
60.8316,99.7658837,0.494093079,24.688292,1.0641,1.742966001,0.896565603
60.984,101.1314637,0.490513126,24.278844,1.0225,1.76737951,0.890504344
61.1364,103.0924511,0.489558473,23.854156,1.0418,1.787949292,0.885887572
61.2888,103.7524314,0.483949881,23.239476,1.0192,1.808149097,0.881797393
61.4412,109.3272472,0.486813842,23.212552,1.1263,1.839162271,0.876387087
61.5936,109.0136805,0.482935561,22.958806,1.1504,1.868367362,0.872270177
61.746,108.0108117,0.482100239,23.21052,1.1677,1.876599143,0.871283132
61.8984,104.0431997,0.481921241,23.001478,1.1734,1.845628684,0.875393235
62.0508,103.1215222,0.480966587,23.296626,1.0952,1.831255647,0.877665506
62.2032,105.3179101,0.482100239,23.459186,1.0896,1.84244871,0.875876154
62.3556,108.1889561,0.475835322,23.42642,1.1331,1.862105236,0.87307228
62.508,107.0314121,0.472494033,23.157942,1.0937,1.872018471,0.871822931
62.6604,107.2244858,0.470763723,22.890226,1.1089,1.878303284,0.871088374
62.8128,106.213419,0.471718377,22.81555,1.1427,1.863564011,0.872881481
62.9652,107.3384512,0.476610979,22.688042,1.1518,1.867442776,0.872385823
63.1176,105.5917554,0.47052506,22.769068,1.1634,1.83679608,0.876762395
63.27,105.6889422,0.47571599,22.805898,1.27,1.795090211,0.884391078
63.4224,106.099277,0.475417661,23.197312,1.1574,1.782827315,0.886994817
63.5748,106.5918175,0.475656325,23.235666,1.2132,1.779120889,0.887813622
63.7272,106.6744917,0.467661098,23.217632,1.2167,1.817366082,0.880078819
63.8796,104.665941,0.459904535,23.211536,1.1516,1.805680372,0.882273486
64.032,105.2848562,0.461575179,23.189438,1.1927,1.77529417,0.88867443
64.1844,102.9391291,0.462529833,23.360634,1.0991,1.75504535,0.893488373
64.3368,103.2128736,0.462470167,23.184612,1.1621,1.751214863,0.894447678
64.4892,100.6756047,0.467959427,23.123906,1.1219,1.731581367,0.899604699
64.6416,104.3834467,0.465334129,23.311612,1.1493,1.701352999,0.908317392
64.794,105.2068367,0.470704057,23.20544,1.1472,1.688649488,0.912253043
64.9464,106.6773112,0.46849642,22.87397,1.2235,1.675698432,0.916429276
65.0988,103.659557,0.473090692,22.827234,1.1594,1.633312912,0.93122611
65.2512,102.5016078,0.479713604,22.83587,1.1651,1.598718057,0.944541962
65.4036,100.5729123,0.488603819,22.930866,1.1929,1.576484928,0.953664133
65.556,103.0540804,0.489856802,22.824694,1.2426,1.545750786,0.96697454
65.7084,106.0477067,0.484725537,22.897084,1.1024,1.525293907,0.976269883
65.8608,107.9456432,0.474582339,23.104094,1.0651,1.547288172,0.966289856
66.0132,109.5743397,0.475775656,23.000462,1.1596,1.54996562,0.965102125
66.1656,107.9315261,0.471360382,22.754082,1.0902,1.529219278,0.974459823
66.318,109.8647704,0.470763723,22.765258,1.1029,1.508616335,0.984097681
66.4704,106.4226383,0.464319809,22.752812,1.0943,1.519954463,0.978751895
66.6228,104.8513754,0.460143198,22.794468,1.1133,1.525793562,0.976038792
66.7752,99.82413321,0.458114558,22.816058,1.0892,1.570517292,0.956185822
66.9276,100.1375587,0.465095465,22.769322,1.1332,1.607108671,0.941212852
67.08,100.565918,0.475119332,22.398228,1.1165,1.570763071,0.956081362
67.2324,103.6318744,0.4825179,22.203918,1.1612,1.589884715,0.948114338
67.3848,103.710687,0.480250597,22.220428,1.2175,1.601326353,0.943500345
67.5372,104.8088842,0.47977327,22.398228,1.2325,1.623021585,0.935073409
67.6896,108.3982993,0.479653938,22.48408,1.0922,1.61788039,0.937031809
67.842,110.1422277,0.482696897,22.4409,1.0895,1.625277335,0.934221776
67.9944,112.9998486,0.488305489,22.380448,1.1525,1.656826602,0.922806347
68.1468,109.1094492,0.492124105,22.283928,1.1449,1.649395925,0.925410828
68.2992,109.7027972,0.493317422,22.104858,1.0825,1.639958397,0.928793893
68.4516,107.5500299,0.490453461,22.135338,1.1503,1.660511541,0.921534255
68.604,107.7239252,0.488842482,22.195028,1.1505,1.652354908,0.924367415
68.7564,104.5420092,0.491169451,22.492716,1.1487,1.670903158,0.918017104
68.9088,103.2734211,0.496121718,22.86381,1.1319,1.691907631,0.911228378
69.0612,100.3408034,0.496658711,23.202138,1.1269,1.668977821,0.918660899
69.2136,94.22942083,0.497374702,22.945344,1.2399,1.615546106,0.937928943
69.366,87.98272821,0.501073986,23.26132,1.2698,1.606904769,0.941293007
69.5184,88.68449335,0.501193317,22.538944,1.1666,1.6272505,0.933480663
69.6708,93.63163223,0.49797136,22.438868,1.1115,1.642269667,0.927957639
69.8232,95.94904958,0.484128878,21.887942,1.0733,1.622256586,0.935363285
69.9756,95.13192226,0.477804296,21.844762,1.1446,1.620872636,0.935889056
70.128,94.155431,0.471121718,21.726906,1.2372,1.592722215,0.946959284
70.2804,96.77146136,0.470405728,21.733002,1.2324,1.595300311,0.945915982
70.4328,99.53655497,0.474224344,21.716746,1.2463,1.591417638,0.947489454
70.5852,101.1740558,0.471002387,21.854922,1.3126,1.577070202,0.953418472
70.7376,101.3483358,0.474343675,21.809456,1.2672,1.537385493,0.97073428
70.89,97.47210661,0.471539379,21.832062,1.3258,1.571623788,0.955715949
71.0424,100.2867636,0.476610979,21.742908,1.2364,1.554645419,0.963040499
71.1948,102.3190068,0.471062053,21.84146,1.1407,1.54091795,0.969139606
71.3472,103.3598381,0.475119332,21.783548,1.2843,1.517658583,0.979826135
71.4996,99.88355491,0.478042959,21.799296,1.3677,1.49300024,0.991625546
71.652,97.68466778,0.487410501,21.900896,1.2612,1.493658676,0.991304329
71.8044,98.9961921,0.487708831,22.236938,1.2416,1.487452809,0.994345049
71.9568,102.7688104,0.490095465,22.330664,1.2356,1.481027976,0.997523967
72.1092,105.9267252,0.482577566,22.274022,1.1856,1.481088714,0.997493768
72.2616,109.3828487,0.483711217,22.314662,1.1299,1.467563085,1.004286906
72.414,107.9276124,0.48627685,22.275292,1.1927,1.495056796,0.990623363
72.5664,105.793731,0.49552506,22.200108,1.1525,1.511143063,0.982897553
72.7188,101.8584769,0.496479714,22.168358,1.1123,1.579943878,0.952216581
72.8712,101.5420985,0.497911695,22.459442,1.1606,1.587113258,0.94924934
73.0236,102.1989588,0.499642005,22.81047,1.2074,1.581589114,0.951531698
73.176,106.1485297,0.490930788,22.756368,1.26,1.616796701,0.937447687
73.3284,106.6862496,0.476372315,22.619716,1.1964,1.651700151,0.924597585
73.4808,107.2591996,0.468973747,22.611588,1.0105,1.672863767,0.917365204
73.6332,106.8466402,0.471658711,22.725126,1.0322,1.704392881,0.907399452
73.7856,107.9746505,0.474880668,22.92731,1.098,1.735861518,0.898446408
73.938,103.4364552,0.46951074,22.930358,1.1071,1.760427004,0.892166637
74.0904,102.7050488,0.467899761,22.709124,1.0441,1.763149444,0.891509632
74.2428,99.19787537,0.469272076,22.517354,1.1289,1.756702052,0.89307824
74.3952,103.2390991,0.485560859,22.445218,1.1283,1.699237323,0.908961706
74.5476,102.0209051,0.52297136,22.958044,1.1347,1.721445451,0.902422706
74.7,101.499035,0.5575179,23.31593,1.0974,1.768119233,0.890330495
74.8524,98.74756396,0.567720764,23.642574,1.1051,1.77178949,0.889476508
75.0048,100.8212569,0.567661098,23.830788,1.1511,1.724168291,0.901655369
75.1572,103.1694314,0.567959427,24.410416,1.2381,1.731855537,0.899529938
75.3096,106.6305515,0.573866348,24.722836,1.2424,1.734400964,0.898839539
75.462,103.9072874,0.571897375,24.675846,1.1604,1.748138011,0.895229369
75.6144,103.1905614,0.55721957,24.208232,1.0123,1.749081113,0.894988717
75.7668,102.5411503,0.532696897,24.077422,1.0323,1.745141453,0.896000161
75.9192,99.30444439,0.510441527,24.135842,0.9676,1.738031547,0.897866381
76.0716,99.67297302,0.527863962,24.375872,1.0247,1.76838179,0.890268928
76.224,100.3855083,0.554057279,24.371808,1.1001,1.759358677,0.892426592
76.3764,99.40547096,0.560083532,24.116792,0.7166,1.732915078,0.899241746
76.5288,100.2560699,0.546002387,23.646384,0.9694,1.701090891,0.908396972
76.6812,100.2468363,0.524880668,23.68677,1.0956,1.726041948,0.901131743
76.8336,103.0495705,0.519689737,23.691342,1.0813,1.721642931,0.902366799
76.986,103.1147066,0.512291169,23.873714,1.0297,1.721554858,0.902391728
77.1384,99.79286608,0.514200477,23.659084,1.0523,1.720829599,0.902597311
77.2908,101.2204787,0.510560859,24.15159,1.0827,1.687781018,0.91252794
77.4432,99.55858774,0.533174224,24.600916,1.104,1.682109657,0.914341351
77.5956,98.66064428,0.540930788,24.914098,0.947,1.662024027,0.921015883
77.748,95.43138919,0.562291169,24.41194,0.8551,1.665199586,0.91993467
77.9004,93.04135556,0.575775656,24.247348,1.01,1.66781987,0.919049821
78.0528,91.44812004,0.57702864,24.015192,0.8823,1.677672391,0.915782148
78.2052,93.38068451,0.559665871,24.09444,1.07,1.704765667,0.907287521
78.3576,93.38173201,0.517422434,23.851362,0.919,1.700268217,0.908647196
78.51,93.90384225,0.502326969,24.219916,0.8057,1.714924073,0.904291214
78.6624,94.98590223,0.502386635,24.406352,1.1663,1.701103049,0.908393279
78.8148,97.12345607,0.507338902,24.609298,1.1384,1.687791237,0.912524701
78.9672,99.07320546,0.512112172,24.634444,1.1824,1.705027849,0.907208882
79.1196,98.21396205,0.509367542,24.672544,1.066,1.734379924,0.898845218
79.272,93.57285747,0.514677804,24.569166,1.1374,1.769540573,0.889998082
79.4244,92.27128408,0.509367542,24.70023,1.1502,1.783353658,0.886879735
79.5768,92.2500435,0.513842482,24.862028,1.1608,1.763978508,0.89131111
79.7292,96.06831157,0.514439141,25.096216,1.1522,1.717886635,0.903437024
79.8816,100.1703375,0.52601432,25.317958,1.0977,1.66548663,0.919837415
80.034,103.1393431,0.534307876,25.547828,1.1646,1.670457733,0.918165727
80.1864,99.52901215,0.531026253,25.57526,1.1538,1.64484532,0.927031628
80.3388,96.85992439,0.524403341,25.269952,1.1348,1.645053439,0.926957076
80.4912,94.4391301,0.511694511,24.97709,1.0965,1.625304156,0.934211678
80.6436,96.82872384,0.510083532,24.854154,1.1709,1.631099399,0.932045356
80.796,95.47397236,0.502863962,24.948896,1.1587,1.611736189,0.939403828
80.9484,91.44152564,0.502565632,24.871934,1.138,1.605998669,0.941649648
81.1008,92.14545449,0.500536993,24.821134,1.1038,1.60162563,0.943381217
81.2532,93.21190515,0.498926014,24.612092,1.1512,1.615828555,0.937820126
81.4056,97.55777252,0.494988067,24.50592,1.1386,1.638765946,0.929227295
