,DEPTH,GR,NPHI,DENSITY,PEF,LITH,VSHALE,DPHI,EPOR0
1799,7198,4.778,0.061616,2.689,0,1,0.016494,0.11302,9.1021
1800,7198.5,5.081,0.062714,2.714,0,1,0.018128,0.098225,8.2405
1801,7199,5.621,0.063781,2.739,0,1,0.021058,0.083432,7.4259
1802,7199.5,5.775,0.065787,2.765,0,1,0.021899,0.068047,6.6927
1803,7200,5.453,0.067801,2.77,0,1,0.020144,0.065089,6.6445
1804,7200.5,4.779,0.066965,2.722,0,1,0.0165,0.093491,8.1317
1805,7201,4.117,0.063781,2.694,0,1,0.012957,0.11006,8.9947
1806,7201.5,3.648,0.060199,2.686,0,1,0.010469,0.11479,9.1655
1807,7202,3.75,0.059403,2.693,0,1,0.011009,0.11065,8.8804
1808,7202.5,4.386,0.059403,2.705,0,1,0.014392,0.10355,8.4414
1809,7203,4.417,0.059005,2.713,0,1,0.014558,0.098817,8.1383
1810,7203.5,4.46,0.054627,2.711,0,1,0.014788,0.1,8.0573
1811,7204,4.504,0.052637,2.705,0,1,0.015024,0.10355,8.2138
1812,7204.5,4.549,0.051045,2.697,0,1,0.015265,0.10828,8.4649
1813,7205,4.602,0.047476,2.684,0,1,0.015549,0.11598,8.8613
1814,7205.5,4.244,0.042289,2.649,0,1,0.013634,0.13669,10.117
1815,7206,3.784,0.045075,2.658,0,1,0.011189,0.13136,9.8202
1816,7206.5,3.237,0.045466,2.71,0,1,0.0083041,0.10059,7.8057
1817,7207,2.456,0.046707,2.767,0,1,0.0042274,0.066864,5.7673
1818,7207.5,2.472,0.046966,2.786,0,1,0.0043104,0.055621,5.1476
1819,7208,2.474,0.042289,2.79,0,1,0.0043208,0.053254,4.8085
1820,7208.5,2.469,0.0399,2.774,0,1,0.0042949,0.062722,5.2565
1821,7209,2.825,0.03791,2.754,0,1,0.0061474,0.074556,5.9143
1822,7209.5,3.36,0.039216,2.747,0,1,0.0089507,0.078698,6.2174
1823,7210,3.658,0.040299,2.747,0,1,0.010522,0.078698,6.252
1824,7210.5,3.656,0.039079,2.757,0,1,0.010512,0.072781,5.8414
1825,7211,3.625,0.035137,2.758,0,1,0.010348,0.072189,5.6771
1826,7211.5,3.48,0.032094,2.756,0,1,0.0095826,0.073373,5.6629
1827,7212,3.085,0.032351,2.76,0,1,0.0075068,0.071006,5.5174
1828,7212.5,2.475,0.033962,2.764,0,1,0.004326,0.068639,5.4151
1829,7213,2.47,0.034991,2.752,0,1,0.0043001,0.07574,5.8995
1830,7213.5,2.778,0.034137,2.748,0,1,0.0059022,0.078107,6.0274
1831,7214,3.375,0.032736,2.745,0,1,0.0090296,0.079882,6.1044
1832,7214.5,3.973,0.032736,2.723,0,1,0.012191,0.092899,6.9649
