,starttime,resolution,speed,volume,occupancy
952,2014-02-02T17:50:00,0:05:00,62.21,38,8.33
959,2014-02-02T18:15:00,0:05:00,59.61,107,NA
968,2014-02-02T18:35:00,0:05:00,61.41,90,9.08
969,2014-02-02T18:40:00,0:05:00,62.67,99,7.6
971,2014-02-02T18:45:00,0:05:00,61.29,68,6.67
974,2014-02-02T18:50:00,0:05:00,61.77,44,3.07
976,2014-02-02T18:55:00,0:05:00,62.05,44,4.75
977,2014-02-02T19:00:00,0:05:00,61.83,48,3.53
980,2014-02-02T19:05:00,0:05:00,63.35,60,5.83
988,2014-02-02T19:25:00,0:05:00,64.1,48,NA
996,2014-02-02T19:45:00,0:05:00,63.24,50,4.92
998,2014-02-02T19:50:00,0:05:00,60.87,45,2.73
999,2014-02-02T19:55:00,0:05:00,63.27,33,2.92
1002,2014-02-02T20:00:00,0:05:00,61.52,52,3.8
1004,2014-02-02T20:05:00,0:05:00,61.69,45,4.17
1006,2014-02-02T20:10:00,0:05:00,63.92,53,4.13
1008,2014-02-02T20:15:00,0:05:00,63.06,66,5
1010,2014-02-02T20:20:00,0:05:00,63.29,55,4.27
1011,2014-02-02T20:25:00,0:05:00,68.4,15,0.92
1013,2014-02-02T20:30:00,0:05:00,62.85,52,4.2
1015,2014-02-02T20:35:00,0:05:00,65.1,29,2
1017,2014-02-02T20:40:00,0:05:00,62.43,14,0.87
1019,2014-02-02T20:45:00,0:05:00,59.88,17,3.5
1021,2014-02-02T20:50:00,0:05:00,62.33,39,2.8
1024,2014-02-02T20:55:00,0:05:00,64.98,46,3.92
1026,2014-02-02T21:00:00,0:05:00,62.69,32,2.47
1028,2014-02-02T21:05:00,0:05:00,62.56,25,2.33
1029,2014-02-02T21:10:00,0:05:00,62.07,44,3.53
1032,2014-02-02T21:15:00,0:05:00,64.44,36,2.2
1033,2014-02-02T21:20:00,0:05:00,63.37,41,2.67
1035,2014-02-02T21:25:00,0:05:00,63.61,18,1.08
1038,2014-02-02T21:30:00,0:05:00,63.73,22,1.47
1040,2014-02-02T21:35:00,0:05:00,64.47,19,1.67
1042,2014-02-02T21:40:00,0:05:00,62.67,18,2.33
1044,2014-02-02T21:45:00,0:05:00,61.87,23,1.75
1046,2014-02-02T21:50:00,0:05:00,62.59,34,2.47
1047,2014-02-02T21:55:00,0:05:00,54.42,24,1.5
1050,2014-02-02T22:00:00,0:05:00,61.89,18,1.2
1058,2014-02-02T22:20:00,0:05:00,NA,19,0.87
1066,2014-02-02T22:40:00,0:05:00,60.47,17,1
1067,2014-02-02T22:45:00,0:05:00,62.67,6,1
1069,2014-02-02T22:50:00,0:05:00,65.36,28,1.6
1071,2014-02-02T22:55:00,0:05:00,56.38,16,1.17
1073,2014-02-02T23:00:00,0:05:00,57,6,0.4
1076,2014-02-02T23:05:00,0:05:00,61.86,14,2.17
1077,2014-02-02T23:10:00,0:05:00,62.43,14,0.93
1085,2014-02-02T23:30:00,0:05:00,NA,12,0.33
1094,2014-02-02T23:50:00,0:05:00,64.33,6,0.27
1096,2014-02-02T23:55:00,0:05:00,60.5,8,0.92
1097,2014-02-03T00:00:00,0:05:00,60.44,9,0.53
1100,2014-02-03T00:05:00,0:05:00,NA,0,0
1101,2014-02-03T00:10:00,0:05:00,59.5,4,0.53
1104,2014-02-03T00:15:00,0:05:00,58.6,5,0.42
1106,2014-02-03T00:20:00,0:05:00,60,2,0
1114,2014-02-03T00:40:00,0:05:00,NA,4,0.27
1122,2014-02-03T01:00:00,0:05:00,29,2,0.07
1124,2014-02-03T01:05:00,0:05:00,62,3,0.17
1125,2014-02-03T01:10:00,0:05:00,58,4,0.27
1127,2014-02-03T01:15:00,0:05:00,66,1,0
1130,2014-02-03T01:20:00,0:05:00,68,4,0
1131,2014-02-03T01:25:00,0:05:00,62,2,0
1133,2014-02-03T01:30:00,0:05:00,59,2,0
1142,2014-02-03T01:50:00,0:05:00,NA,NA,0
1149,2014-02-03T02:10:00,0:05:00,52.8,5,1.33
1152,2014-02-03T02:15:00,0:05:00,53,6,1
1154,2014-02-03T02:20:00,0:05:00,58,2,0.13
1155,2014-02-03T02:25:00,0:05:00,NA,0,0
1157,2014-02-03T02:30:00,0:05:00,51.33,6,1.2
1160,2014-02-03T02:35:00,0:05:00,62.67,6,0.83
1161,2014-02-03T02:40:00,0:05:00,62,2,0
1169,2014-02-03T03:00:00,0:05:00,NA,2,0.07
1177,2014-02-03T03:20:00,0:05:00,56.52,23,1.67
1179,2014-02-03T03:25:00,0:05:00,59,4,0.17
1182,2014-02-03T03:30:00,0:05:00,51.5,4,0.27
1184,2014-02-03T03:35:00,0:05:00,53.6,5,1.08
1185,2014-02-03T03:40:00,0:05:00,62.55,11,0.47
1187,2014-02-03T03:45:00,0:05:00,59.83,6,0.25
1190,2014-02-03T03:50:00,0:05:00,58.63,8,0.87
1197,2014-02-03T04:10:00,0:05:00,NA,13,0.8
1206,2014-02-03T04:30:00,0:05:00,60.56,18,2.6
