,starttime,resolution,speed,volume,occupancy
392,2011-03-01T16:15:00,0:05:00,NA,NA,NA
394,2011-03-01T16:20:00,0:05:00,NA,NA,NA
396,2011-03-01T16:25:00,0:05:00,NA,NA,NA
398,2011-03-01T16:30:00,0:05:00,NA,NA,NA
400,2011-03-01T16:35:00,0:05:00,NA,NA,NA
402,2011-03-01T16:40:00,0:05:00,NA,NA,NA
404,2011-03-01T16:45:00,0:05:00,NA,NA,NA
406,2011-03-01T16:50:00,0:05:00,NA,NA,NA
408,2011-03-01T16:55:00,0:05:00,NA,NA,NA
410,2011-03-01T17:00:00,0:05:00,NA,NA,NA
412,2011-03-01T17:05:00,0:05:00,NA,NA,NA
414,2011-03-01T17:10:00,0:05:00,NA,NA,NA
416,2011-03-01T17:15:00,0:05:00,NA,NA,NA
418,2011-03-01T17:20:00,0:05:00,NA,NA,NA
420,2011-03-01T17:25:00,0:05:00,NA,NA,NA
422,2011-03-01T17:30:00,0:05:00,NA,NA,NA
424,2011-03-01T17:35:00,0:05:00,NA,NA,NA
426,2011-03-01T17:40:00,0:05:00,NA,NA,NA
428,2011-03-01T17:45:00,0:05:00,NA,NA,NA
430,2011-03-01T17:50:00,0:05:00,NA,NA,NA
432,2011-03-01T17:55:00,0:05:00,NA,NA,NA
434,2011-03-01T18:00:00,0:05:00,NA,NA,NA
436,2011-03-01T18:05:00,0:05:00,NA,NA,NA
438,2011-03-01T18:10:00,0:05:00,NA,NA,NA
440,2011-03-01T18:15:00,0:05:00,NA,NA,NA
442,2011-03-01T18:20:00,0:05:00,NA,NA,NA
444,2011-03-01T18:25:00,0:05:00,NA,NA,NA
446,2011-03-01T18:30:00,0:05:00,NA,NA,NA
448,2011-03-01T18:35:00,0:05:00,NA,NA,NA
450,2011-03-01T18:40:00,0:05:00,NA,NA,NA
452,2011-03-01T18:45:00,0:05:00,NA,NA,NA
454,2011-03-01T18:50:00,0:05:00,NA,NA,NA
456,2011-03-01T18:55:00,0:05:00,NA,NA,NA
458,2011-03-01T19:00:00,0:05:00,NA,NA,NA
460,2011-03-01T19:05:00,0:05:00,NA,NA,NA
462,2011-03-01T19:10:00,0:05:00,NA,NA,NA
464,2011-03-01T19:15:00,0:05:00,NA,NA,NA
466,2011-03-01T19:20:00,0:05:00,NA,NA,NA
468,2011-03-01T19:25:00,0:05:00,NA,NA,NA
470,2011-03-01T19:30:00,0:05:00,NA,NA,NA
