AC,CAL,GR,K,RD,SP,Core Lithology,,1,coarse sandstone
0.233710323,0.083738615,0.238278999,0.484799678,0.009439968,0.530541533,4,,,
0.180200677,0.201388275,0.125229418,0.345681498,0.011413873,0.363895524,2,,,
0.271250035,0.124237333,0.292009882,0.732232736,0.009214233,0.537916347,7,,,
0.228877234,0.143381378,0.098056818,0.340044292,0.00992687,0.39247645,3,,,
0.240171201,0.09412857,0.199852792,0.47956513,0.009993348,0.452652454,3,,,
0.213636349,0.196701742,0.110071189,0.200322126,0.010898116,0.365658944,3,,,
0.23749069,0.096294986,0.183416479,0.42560902,0.010396969,0.447756569,3,,,
0.275482916,0.062030241,0.151510022,0.333601772,0.010974091,0.383417091,7,,,
0.269785653,0.461977186,0.221405246,0.298570566,0.011340089,0.309753459,4,,,
0.229678559,0.079052082,0.165557536,0.457217636,0.01024794,0.474359986,4,,,
0.202402089,0.140772836,0.105476172,0.282665593,0.011569842,0.370166088,3,,,
0.43180097,0.269696702,0.272787269,0.77249849,0.01231864,0.227041736,2,,,
0.21631686,0.574056062,0.31395413,0.408697403,0.014238485,0.432877361,7,,,
0.357532297,0.48642674,0.308147596,0.519226898,0.011663351,0.318790283,2,,,
0.221435911,0.0748961,0.161611071,0.450372458,0.010536501,0.478754451,4,,,
0.25528953,0.06269343,0.199708247,0.496074089,0.010963133,0.490906837,4,,,
0.204752642,0.136440004,0.115379422,0.208576606,0.012216365,0.366385721,3,,,
0.201019411,0.127818552,0.184713582,0.387557882,0.010997834,0.428004011,2,,,
0.302677682,0.021531524,0.242447987,0.484598349,0.013263221,0.941694461,7,,,
0.211515195,0.081306924,0.160401455,0.532514596,0.011066139,0.452551043,2,,,
0.345490427,0.497922009,0.110232851,0.266156634,0.010901038,0.390701762,2,,,
0.243103107,0.436864444,0.233567966,0.322126032,0.012266042,0.312530987,4,,,
0.20710948,0.199442922,0.120168433,0.376887457,0.011723254,0.389310182,3,,,
0.192289684,0.128614378,0.180719569,0.387356553,0.011465741,0.425998332,2,,,
0.235492092,0.361924131,0.165538517,0.31266358,0.012439909,0.391079236,2,,,
0.198272909,0.287249094,0.098155717,0.277431045,0.012845356,0.391879254,2,,,
0.210204793,0.238173136,0.096261414,0.229917455,0.011725081,0.383456529,2,,,
0.284404333,0.086700858,0.242963405,0.573988323,0.011401089,0.495667508,3,,,
0.33637732,0.497612521,0.118717275,0.278437689,0.01143031,0.391710236,2,,,
0.245202264,0.058758511,0.230985171,0.511375075,0.01199757,0.497391491,4,,,
0.244300381,0.058272173,0.228636311,0.529897322,0.012150617,0.498185875,4,,,
0.198386037,0.213944646,0.091394424,0.304811758,0.015606411,0.3573658,2,,,
0.225291698,0.404633478,0.238104023,0.344272196,0.013095564,0.315511335,4,,,
0.321280988,0.238084711,0.285883827,0.80853634,0.01404051,0.222658539,2,,,
0.18952747,0.074409762,0.131148165,0.408898732,0.012946169,0.364830757,3,,,
0.319552641,0.018834557,0.212599399,0.488826253,0.012942152,0.951272141,7,,,
0.198571442,0.082721726,0.118859919,0.381920676,0.012946169,0.36394623,3,,,
0.193700644,0.115881157,0.132673497,0.415139923,0.012378909,0.435254879,2,,,
0.186095914,0.070607481,0.143552427,0.429836924,0.013030546,0.365794159,3,,,
