AC,CAL,GR,K,RD,SP,Core Lithology
0.281698683,0.39384561,0.047968094,0.207167304,0.028547467,0.076136927,3
0.212935583,0.140861261,0.091305034,0.343869539,0.028786352,0.096340199,4
0.237145021,0.230038023,0.077286049,0.213811154,0.045839222,0.374752107,2
0.179484198,0.153461845,0.106596397,0.343466881,0.031601832,0.42424618,2
0.313522278,0.151914404,0.060069952,0.162270989,0.041036687,0.29045725,2
0.230690428,0.382306128,0.048416945,0.173142742,0.025671352,0.108560193,3
0.291188883,0.151825979,0.230262445,0.576001611,0.011892008,0.25012958,2
0.20680152,0.121849854,0.03729457,0.128447755,0.041046549,0.394465227,1
0.022889609,0.020514634,0.003208524,0.032816589,0.059420226,0.523617434,5
0.283995814,0.150897515,0.219290321,0.534527884,0.010844056,0.255442376,2
0.274574748,0.128879653,0.080960541,0.295147977,0.019992176,0.103833326,3
0.178400053,0.159607392,0.100683357,0.352728005,0.030877142,0.42635327,2
0.210409053,0.18189053,0.047332855,0.176565331,0.086630814,0.357923559,2
0.233279807,0.403086038,0.047233956,0.177974633,0.027057907,0.108858791,3
0.274932987,0.398178442,0.049674108,0.202536743,0.030210529,0.081951143,3
0.027091065,0.049208595,0.025875497,0.152405879,0.082509869,0.333720197,5
0.235941462,0.141347599,0.074353303,0.266961949,0.019937386,0.100148736,3
0.494442576,0.257449819,0.236601514,0.648681297,0.012354071,0.235751792,2
0.059939099,0.065125122,0.001304711,0.053150795,0.223396029,0.432973137,5
0.264185807,0.202360951,0.069916145,0.237567948,0.020479808,0.074897462,3
0.285843575,0.05650367,0.089085504,0.083350111,0.098328135,-0.025668184,2
0.240724272,0.412370678,0.049381213,0.184417153,0.028472222,0.105720692,3
0.061098664,0.053718277,0.001686995,0.056774713,0.227952008,0.432702709,5
0.227626539,0.117074896,0.031973023,0.119387961,0.030396815,0.349461396,1
0.287147692,0.051109736,0.079766141,0.065230521,0.103798378,-0.033443007,2
0.219977814,0.2461314,0.127412812,0.289108114,0.020663172,0.112408167,3
0.013506252,0.075824565,0.0000001,0.065230521,0.074622651,0.505509983,5
0.260345732,0.403705014,0.052099044,0.198711496,0.030563743,0.089725966,3
0.030249228,0.027234946,0.009258502,0.05395611,0.04768857,0.531133096,5
0.248671529,0.41016005,0.052038183,0.192067646,0.029793029,0.098503628,3
0.05955572,0.07781413,0.00178209,0.049929535,0.212775882,0.433299905,5
0.293222049,0.154876647,0.243113656,0.611838132,0.012781069,0.245836526,2
0.196393724,0.083517552,0.150846255,0.328367224,0.014217665,0.376019741,3
0.162357843,0.020072509,0.076304663,0.263740689,0.050246902,0.392493352,2
0.013600525,0.064152445,0.002613226,0.066237165,0.053353136,0.518721549,5
0.197531291,0.2686356,0.10367316,0.321119388,0.009440699,0.36107856,2
0.157402199,0.064992484,0.107433238,0.350916046,0.032178589,0.393873665,2
0.179823583,0.132018746,0.118270326,0.250855647,0.024143804,0.197863614,3
0.059998806,0.090105226,0.002923237,0.046909603,0.19542605,0.433660477,5
0.062795587,0.045538951,0.003269385,0.06059996,0.226448933,0.432477352,5
0.189408057,0.248120966,0.110828149,0.329172539,0.010048504,0.362087033,2
0.203052576,0.153594482,0.047823548,0.181799879,0.083287523,0.358808086,2
0.289121151,0.092315855,0.049107338,0.170525468,0.048154651,0.117698427,2
0.196425148,0.094438058,0.134459391,0.320515402,0.012830014,0.374470411,3
0.183459398,0.136307366,0.112688218,0.325951278,0.031724197,0.423463064,2
