,Unnamed: 0,"DEPT,m","LITHOLOGY_GEOLINK,_",LITH,"GR,gAPI","NPHI,m3/m3","RHOB,g/cm3","DTC,us/ft","RDEP,ohm.m","RMED,ohm.m","Igr,m3/m3",GR_s,GR_std,RHOB_std,NPHI_std,DTC_std,"DPHI,m3/m3","deltaPHI,m3/m3","APHI,m3/m3",log10RMED,log10RDEP,M,N,"DT_m,us/ft","rho_m,g/cm3","Vp,km/s",rho_Vp,rho_Vp2,GR_grad,RHOB_grad,NPHI_grad,DTC_grad,log10RDEP_grad,log10RMED_grad,DPHI_grad,deltaPHI_grad,APHI_grad,M_grad,N_grad,DTm_grad,rhom_grad,rhoVp_grad,rhoVp2_grad,"groupTop,m","DgroupTop,m",Cromer Knoll,Hegre,Rogaland,Rotliegend,Shetland,Vestland,Viking,Zechstein,LITH_g,prob_c,prob_a
20,20,2078.06665,6,6,83.75826263,0.49853,2.01150465,149.4736633,0.380033642,0.558945596,0.608313231,1.74835924,10.62616296,0.065494837,0.047346276,12.15685316,0.408476813,0.090053187,0.453503406,-0.252630461,-0.420177956,0.390767721,0.495766381,110.1790602,3.017079087,2.03915515,4.101770065,8.364145551,-30.11288124,0.043079793,0.136992602,-11.2730183,-0.088058604,0.153465898,-0.025192861,0.162185464,0.05589987,0.094194129,-0.155539883,-45.92364546,0.664595728,0.40181065,1.467017431,2075,3.06665,0,0,1,0,0,0,0,0,1,1.75E-05,2.46E-10
21,21,2078.218994,6,6,79.17074585,0.519400001,2.018067598,147.7562866,0.401052892,0.541943908,0.571729579,1.536475763,10.43372856,0.067185999,0.046895487,11.55089758,0.404638832,0.114761169,0.462019416,-0.266045661,-0.396798348,0.405117631,0.472070813,103.1828683,3.118326259,2.062856324,4.162983507,8.587636855,19.34572146,0.035320518,0.102399996,-2.913556819,-0.190096685,0.225196054,-0.020655274,0.12305527,0.040872361,0.014486908,-0.116345654,-25.16393854,0.542445447,0.155416508,0.491414888,2075,3.218994,0,0,1,0,0,0,0,0,1,1.81E-05,3.51E-10
22,22,2078.371338,5,5,82.11795044,0.535000026,2.023448467,147.3124237,0.434019178,0.506983995,0.595232383,1.672598198,10.52808315,0.069587836,0.047940897,10.44833257,0.401492125,0.133507901,0.468246075,-0.295005751,-0.36249108,0.407324625,0.454346251,99.34929327,3.200964568,2.069071858,4.18666028,8.662500965,-37.00354507,0.080949699,-0.24319985,4.88580909,-0.05642394,0.07762661,-0.047339005,-0.195860845,-0.145269428,-0.079004078,0.199289931,53.1597389,-0.904938838,0.028490729,-0.227205801,2075,3.371338,0,0,1,0,0,0,0,0,1,1.41E-05,5.16E-10
23,23,2078.523682,5,5,76.48068237,0.497949988,2.035780668,148.0567474,0.44600001,0.49704808,0.550277375,1.412229896,10.85448082,0.071537172,0.050254488,8.949893165,0.394280311,0.103669677,0.44611515,-0.303601599,-0.350665132,0.395288828,0.484706876,107.4478605,3.063102566,2.058670041,4.191000671,8.627887524,-5.569095997,0.178181122,-0.005242771,2.037098592,0.167284615,0.100425348,-0.104199486,0.098956715,-0.054721129,-0.085424876,-0.076317226,4.901377817,0.332832351,0.308504872,0.51531758,2075,3.523682,0,0,1,0,0,0,0,0,1,2.55E-05,8.36E-10
24,24,2078.67627,5,5,75.63090515,0.497150004,2.062968969,148.3675842,0.462017655,0.527137637,0.543500734,1.372981265,11.02229615,0.072722566,0.051493123,7.339273058,0.37838072,0.118769284,0.437765362,-0.278075975,-0.335341429,0.382254017,0.473061783,108.195752,3.113888789,2.054357034,4.238074813,8.706518803,-53.39639668,0.265108289,-0.34586426,-1.482078599,0.223602957,0.067154545,-0.155034087,-0.190830173,-0.250449174,-0.078413399,0.19980096,47.63873548,-0.838842024,0.587856795,1.296612373,2075,3.67627,0,0,1,0,0,0,0,0,1,2.33E-05,1.47E-09
25,25,2078.828613,5,5,67.49633789,0.444460005,2.103356361,148.1417999,0.473030448,0.570149005,0.478630742,0.997270293,10.81995582,0.072850859,0.049987979,6.251911817,0.354762362,0.089697643,0.399611183,-0.244011629,-0.325110904,0.370308284,0.503500061,115.4531798,2.986097078,2.057488099,4.327630681,8.904048622,-23.1907422,0.26426771,-0.102662337,0.892627212,0.43076066,0.112357405,-0.15454252,0.051880184,-0.128602428,-0.093376446,-0.026579265,14.78188281,0.10569408,0.517176823,1.009507212,2075,3.828613,0,0,1,0,0,0,0,0,1,4.58E-05,3.66E-09
26,26,2078.980957,5,5,63.96336746,0.428820014,2.143615961,148.2777863,0.492046416,0.663150609,0.450456685,0.834093112,10.36223393,0.071575933,0.046725569,6.062875165,0.331218736,0.097601278,0.380019375,-0.178387827,-0.307993927,0.356082943,0.499450869,117.705111,3.002198937,2.055601165,4.406419467,9.057840988,-18.94140019,0.159990095,-0.221932068,-11.03664076,0.377225857,0.162997386,-0.093561459,-0.128370609,-0.157746764,0.045716733,0.121597735,7.910843764,-0.470027693,0.664388993,2.063310243,2075,3.980957,0,0,1,0,0,0,0,0,1,5.71E-05,8.10E-09
27,27,2079.133301,5,5,61.07775879,0.395009995,2.167989492,146.5964203,0.521000028,0.75697279,0.427445084,0.700815606,9.909346434,0.068593202,0.045154023,6.193186087,0.316965209,0.078044786,0.355987602,-0.120919731,-0.283162253,0.363047613,0.517975555,118.9102806,2.930593038,2.079177579,4.507635143,9.372173924,-0.953549139,0.023902267,0.118613021,-34.84319238,-0.064967769,0.138827736,-0.013977934,0.132590955,0.052317543,0.289984051,-0.111804678,-73.53087988,0.430886201,1.163195009,4.820628713,2075,4.133301,0,0,1,0,0,0,0,0,1,0.000108411,1.53E-08
28,28,2079.285645,5,5,60.9324913,0.413079977,2.171630859,141.288269,0.546999991,0.739916682,0.426286633,0.694106142,9.125515736,0.064576818,0.043163951,6.113532187,0.314835755,0.098244222,0.363957866,-0.130817181,-0.262012681,0.407224943,0.500942783,107.7082922,2.996235966,2.15729156,4.684840924,10.10656778,22.49205627,-0.05197374,0.020447384,-34.35830051,-0.207256548,0.142133761,0.030394,-0.009946616,0.025420692,0.313438086,0.004802341,-61.70007224,-0.019109174,1.066712451,4.942300559,2075,4.285645,0,0,1,0,0,0,0,0,1,9.47E-05,1.85E-08
29,29,2079.438232,5,5,64.36448669,0.416199982,2.163700342,136.045639,0.575009584,0.687952042,0.453655454,0.852619592,8.12145582,0.060266243,0.042444619,5.868360278,0.319473484,0.096726498,0.367836733,-0.162441836,-0.240324917,0.45505152,0.501675558,98.2936633,2.993320154,2.240424555,4.847607376,10.8606986,19.40126024,-0.06437007,0.093604106,-8.801267526,-0.062906737,0.029553051,0.037643316,0.05596079,0.065623711,0.10165958,-0.053134186,-30.3609111,0.214581738,0.171078457,1.096713744,2075,4.438232,0,0,1,0,0,0,0,0,1,8.76E-05,1.90E-08
30,30,2079.590576,5,5,67.32015228,0.430460006,2.153893948,134.7048187,0.58100158,0.672937453,0.477225731,0.989132815,7.131136999,0.055322861,0.042107822,5.593299504,0.325208218,0.105251788,0.377834112,-0.1720253,-0.235822687,0.470538747,0.493580883,93.66836066,3.026010395,2.262725218,4.873670153,11.02777636,4.708225463,-0.049979888,-0.167646865,7.387507877,-0.169907166,0.004894738,0.029228004,-0.196874869,-0.06920943,-0.043931337,0.167774029,39.27128927,-0.654759338,-0.377221876,-1.446253633,2075,4.590576,0,0,1,0,0,0,0,0,1,7.29E-05,1.59E-08
31,31,2079.74292,5,5,68.03742218,0.404920012,2.146279812,135.8302612,0.582000017,0.634001613,0.482945677,1.022261334,6.231020746,0.049415569,0.040393163,5.316145036,0.329660929,0.075259083,0.36729047,-0.197909637,-0.235077003,0.463846072,0.51914025,99.65110595,2.926261738,2.24397706,4.816202663,10.8074483,-6.481209303,0.001635424,-0.126818326,5.228156672,0.004557591,-0.084509735,-0.000956388,-0.125861937,-0.063887357,-0.046261502,0.109870152,26.95187799,-0.394937931,-0.180648276,-0.816565089,2075,4.74292,0,0,1,0,0,0,0,0,1,9.42E-05,1.55E-08
32,32,2079.895264,5,5,67.05004883,0.385600001,2.146528959,136.6267395,0.564999998,0.635016024,0.475071761,0.976657556,5.621841509,0.042657415,0.036511566,5.064506848,0.329515229,0.056084772,0.357557615,-0.197215316,-0.247951554,0.45679841,0.535878308,103.7570628,2.866095314,2.230895587,4.788681982,10.6830495,-16.13728845,0.046801531,0.025100368,-0.0646001,0.044640847,-0.06120046,-0.027369316,0.052469685,-0.001134474,-0.017971221,-0.043496216,-3.610117228,0.153366875,0.106681219,0.243063375,2075,4.895264,0,0,1,0,0,0,0,0,1,0.000111042,1.46E-08
33,33,2080.047852,5,5,64.58769226,0.389430016,2.153670311,136.6168823,0.552980721,0.6450544,0.455435431,0.86292878,4.340154941,0.034975114,0.029742861,4.8010161,0.325338999,0.064091017,0.357384508,-0.190403658,-0.25729001,0.454056217,0.529241308,103.2062023,2.889497259,2.231056551,4.804960256,10.72013806,-2.676896214,0.002591658,0.104041393,0.627306801,0.073853929,-0.062451248,-0.00151559,0.105556983,0.051262902,-0.006455291,-0.091340604,-13.95412863,0.334909847,-0.016269527,-0.08546235,2075,5.047852,0,0,1,0,0,0,0,0,1,0.000103974,1.52E-08
