"DEPT,m","LITHOLOGY_GEOLINK,_",LITH,"GR,gAPI","NPHI,m3/m3","RHOB,g/cm3","DTC,us/ft","RDEP,ohm.m","RMED,ohm.m","Igr,m3/m3",GR_s,GR_std,RHOB_std,NPHI_std,DTC_std,"DPHI,m3/m3","deltaPHI,m3/m3","APHI,m3/m3",log10RMED,log10RDEP,M,N,"DT_m,us/ft","rho_m,g/cm3","Vp,km/s",rho_Vp,rho_Vp2,GR_grad,RHOB_grad,NPHI_grad,DTC_grad,log10RDEP_grad,log10RMED_grad,DPHI_grad,deltaPHI_grad,APHI_grad,M_grad,N_grad,DTm_grad,rhom_grad,rhoVp_grad,rhoVp2_grad,"groupTop,m","DgroupTop,m",Cromer Knoll,Hegre,Rogaland,Rotliegend,Shetland,Vestland,Viking,Zechstein,LITH_g,prob_c,prob_a
2937.906006,2,2,56.89459992,0.260513246,2.311198473,91.34272003,0.600907207,0.72657758,0.209773005,0.422606107,5.646991138,0.025948895,0.007850827,1.523412641,0.233217267,0.027295979,0.246865257,-0.138718007,-0.221192587,0.744794034,0.563977742,56.93910852,2.773119621,3.336883226,7.712199416,25.73470886,20.31903538,0.140596777,-0.013761901,-6.019445697,0.856218885,0.147856567,-0.082220337,0.068458436,-0.047991119,-0.033407963,-0.049173797,-5.666278796,0.156684696,0.987313543,5.041147343,2821,116.906006,0,1,0,0,0,0,0,0,0,0.000324974,2.42E-07
2938.058594,2,2,59.99504089,0.258413345,2.332651854,90.42422485,0.632948756,0.981591344,0.222460647,0.529084096,5.525646071,0.027505077,0.009962359,1.511240799,0.22067143,0.037741915,0.239542388,-0.00806928,-0.198631449,0.739696379,0.556474411,56.07450237,2.797027825,3.370778027,7.862851614,26.50392745,20.71561105,0.150960038,0.005286378,-2.493535551,0.704013631,0.123427426,-0.088280724,0.093567102,-0.041497173,-0.063976142,-0.065866408,-4.314674214,0.216608876,0.728739986,3.200738602,2821,117.058594,0,1,0,0,0,0,0,0,0,0.000395888,3.31E-07
2938.210938,2,2,63.15093994,0.259218693,2.35564971,90.04434967,0.660955131,1.256559253,0.235375235,0.637466674,4.925295097,0.032282819,0.010388508,1.506956044,0.207222392,0.051996301,0.233220542,0.099182973,-0.179828022,0.729949998,0.546440059,55.41718764,2.830026888,3.384998519,7.973870779,26.99154077,4.338938645,0.080793729,-0.008576659,-1.053040048,0.125060223,0.17958272,-0.047247795,0.038671135,-0.027912227,-0.035414084,-0.026003919,0.124856119,0.087723047,0.367393084,1.562065517,2821,117.210938,0,1,0,0,0,0,0,0,0,0.000300112,4.65E-07
2938.363281,2,2,63.81194687,0.257912099,2.367958069,89.88392639,0.703931093,1.312910199,0.238080211,0.660167538,4.997805791,0.035790963,0.010567476,1.477715678,0.200024521,0.057887578,0.22896831,0.118235022,-0.152469851,0.72455491,0.542478544,55.4362086,2.84339088,3.391040006,8.029840543,27.22951052,-17.78372486,0.002817,-0.027298318,0.165865147,0.070734284,0.095543119,-0.001647368,-0.02565095,-0.014472843,-0.00270371,0.018832503,5.108139657,-0.06365787,-0.005263635,-0.068077384,2821,117.363281,0,1,0,0,0,0,0,0,0,0.000288332,7.10E-07
2938.515625,2,2,61.10270309,0.253753364,2.368387222,89.90919495,0.727923214,1.345894337,0.226993429,0.567124377,5.196287868,0.035855886,0.011460757,1.429641152,0.199773554,0.05397981,0.226763459,0.129010966,-0.13791443,0.724143016,0.545347562,56.21440303,2.833692986,3.39008697,8.02903866,27.21913934,-10.6895423,-0.018670295,-0.03365359,2.065698482,-0.182880107,-0.042963553,0.010918301,-0.044571891,-0.011367644,-0.005226525,0.032101178,8.696525241,-0.106977106,-0.24689862,-1.457269185,2821,117.515625,0,1,0,0,0,0,0,0,0,0.000356921,8.44E-07
2938.668213,2,2,59.47160721,0.24861823,2.365538359,90.22439575,0.717017651,1.262134552,0.220318649,0.51110789,5.595082646,0.034043975,0.011936153,1.327355966,0.201439556,0.047178674,0.225028893,0.101105656,-0.144470153,0.723345511,0.550245817,57.54138842,2.817369563,3.37824363,7.991364894,26.99677755,-48.55288006,-0.052718643,0.015281166,-2.321961285,-0.240157108,-0.060244321,0.030829616,-0.01554845,0.023055391,0.045195647,0.010111953,-5.781697296,-0.033304841,0.02767308,0.791362027,2821,117.668213,0,1,0,0,0,0,0,0,0,0.000392053,8.19E-07
2938.820557,2,2,52.07486725,0.250946224,2.35750699,89.87065888,0.702024043,1.160163403,0.190049668,0.257082735,5.600735252,0.032311535,0.012064342,1.149268929,0.206136263,0.044809961,0.228541244,0.064519162,-0.153648014,0.730230797,0.551786312,56.66058153,2.81229577,3.391540621,7.995580721,27.11733681,-17.89717348,-0.115067486,0.009265257,-5.019706255,-0.278529054,-0.03682283,0.067290927,-0.058025671,0.038278092,0.100168031,0.040468901,-8.354082043,-0.131448024,0.05681886,1.721989016,2821,117.820557,0,1,0,0,0,0,0,0,0,0.000556155,7.62E-07
2938.9729,1,1,49.34835815,0.252357721,2.339977264,89.10594177,0.693014443,1.052173138,0.178892233,0.163446633,5.384583599,0.03216657,0.012014925,0.983382436,0.216387565,0.035970156,0.234372643,0.02208721,-0.159257714,0.745490695,0.557951466,55.38789561,2.792270584,3.4206472,8.004236677,27.37966978,6.11206933,-0.15660343,0.071645572,-2.531295883,-0.308745917,-0.012407167,0.091580953,-0.019935382,0.081613263,0.107938026,0.011952972,-16.42942799,-0.038270839,-0.309643096,-0.28260909,2821,117.9729,0,1,0,0,0,0,0,0,0,0.000701822,5.96E-07
2939.125244,1,1,50.27949524,0.263272494,2.316119671,88.72031403,0.690004826,0.944173098,0.182702637,0.195424537,5.037745955,0.033954513,0.01197881,1.030172552,0.230339374,0.03293312,0.246805934,-0.024948378,-0.161147872,0.761934406,0.55977243,52.88497083,2.786440251,3.435515232,7.957064409,27.33661598,54.80822835,-0.054956592,0.028119165,3.456023933,-0.242274864,-1.99E-05,0.032138358,-0.004019193,0.030128761,0.005592119,0.002021813,-0.507092841,-0.006448802,-0.495822421,-2.751948721,2821,118.125244,0,1,0,0,0,0,0,0,0,0.000803704,4.12E-07
2939.277588,2,2,58.62919998,0.26755628,2.307747364,89.24681854,0.689999998,0.867246389,0.216871345,0.482177222,5.014537465,0.034880276,0.012188701,1.156102521,0.23523546,0.03232082,0.25139587,-0.0618575,-0.161150911,0.762786332,0.560080441,52.80771828,2.785457815,3.415247683,7.881528838,26.9173731,12.65331592,0.169288941,0.128792487,5.242546268,-0.040413381,0.048995503,-0.098999381,0.227791868,0.014896553,-0.136142499,-0.167675062,-17.25328634,0.560111163,0.114162766,-1.18070605,2821,118.277588,0,1,0,0,0,0,0,0,0,0.000578631,3.40E-07
