TopDepth,BotDepth,_CAL,_GR,_SP,_LLD,_LLS,_AC,_DEN,_PEF,Lith_Section
1684.42,1686.41,9.46623,101.651,-13.3019,12.7648,10.7494,74.7801,2.38545,0.356831,muddy siltstone
1686.41,1687.69,11.4991,113.814,-8.31401,6.57052,5.64791,78.8561,2.36045,0.383534,mudstone
1687.69,1688.53,10.3071,104.721,-7.51151,8.88303,7.5249,72.4467,2.46512,0.653373,silty mudstone
1688.53,1689.17,9.78348,107.803,-7.25271,6.64647,5.42053,75.9419,2.44012,0.325473,mudstone
1689.17,1691.6,8.93953,96.2633,-10.5812,10.7561,9.19741,73.0191,2.38857,0.528443,muddy siltstone
1691.6,1692.82,8.47443,106.241,-11.1336,12.9927,11.5169,71.9065,2.36358,0.250814,silty mudstone
1692.82,1694.87,7.78757,74.38,-23.4179,21.475,20.261,73.5583,2.21048,0.0817448,siltstone
1694.87,1695.51,8.41283,103.596,-17.3079,12.1219,12.0068,71.4636,2.40263,0.119193,mudstone
1695.51,1696.03,8.50832,88.2523,-13.4019,13.9448,13.7785,68.7633,2.41357,0.153568,silty mudstone
1696.03,1697.44,8.6962,100.137,-9.79287,10.5038,10.0825,74.0397,2.38857,0.0848515,mudstone
1697.44,1698.65,8.28963,76.9797,-17.0317,19.9058,19.324,73.8354,2.30109,0.0790699,siltstone
1698.65,1700.51,9.34611,106.939,-10.616,6.84585,7.50811,76.4768,2.51511,0.207281,silty mudstone
1700.51,1701.02,9.43235,174.796,-8.61739,6.07953,5.98058,76.1174,2.40107,0.296979,mudstone
1701.02,1703.05,9.13974,112.473,-8.94143,10.3601,9.85206,74.8517,2.42606,0.296017,silty mudstone
1703.05,1704.25,8.86253,91.1187,-11.3109,12.8733,11.9396,73.309,2.3542,0.326074,muddy siltstone
1704.25,1704.82,8.97649,85.325,-12.0731,25.9441,22.1639,69.0158,2.50105,0.317928,siltstone
1704.82,1705.84,9.13358,104.599,-9.49601,7.59318,7.9354,74.2869,2.437,0.319717,mudstone
1705.84,1706.41,8.16334,90.7333,-11.1499,15.3649,15.071,75.0593,2.3417,0.287176,siltstone
1706.41,1707.42,8.82557,123.334,-11.0075,8.94542,8.89983,77.3027,2.40107,0.288324,mudstone
1707.42,1709.01,8.95801,91.9385,-20.3526,14.0004,14.2134,75.4551,2.31671,0.282439,siltstone
1709.01,1710.03,9.7188,119.307,-11.3217,5.23048,5.80662,83.6833,2.45418,0.282148,mudstone
1710.03,1710.85,9.46315,98.6699,-9.73741,19.7051,18.4771,69.1345,2.59322,0.257428,siltstone
1710.85,1711.42,9.12434,120.654,-7.54848,9.83381,10.493,71.0806,2.51355,0.299214,mudstone
1711.42,1713.01,9.14898,101.868,-9.46882,13.4633,12.9071,73.0747,2.33233,0.26271,muddy siltstone
1713.01,1714.59,9.20442,107.448,-7.32339,10.143,9.09364,75.177,2.43075,0.222693,mudstone
1714.59,1715.61,9.10278,90.5259,-9.88856,14.0614,12.2326,74.4719,2.32296,0.282524,muddy siltstone
1715.61,1718.59,9.56172,118.739,-9.36226,9.03629,8.9273,76.8909,2.42138,0.259123,mudstone
1718.59,1719.54,9.54939,100.384,-8.44341,13.2476,12.9941,73.0448,2.44012,0.261831,silty mudstone
1719.54,1720.43,9.25986,110.702,-7.3832,10.2746,10.6883,75.1213,2.412,0.260045,mudstone
1720.43,1721.07,9.1613,112.461,-7.94864,10.6801,11.2072,73.0876,2.42763,0.257359,silty mudstone
1721.07,1721.57,8.91797,128.945,-7.97691,11.0965,9.95736,75.8424,2.38232,0.259962,mudstone
1721.57,1722.46,8.84405,94.7305,-8.55432,14.5565,14.3568,72.3751,2.38076,0.244325,silty mudstone
1722.46,1723.03,8.87177,97.5,-8.14872,10.8334,10.934,75.1224,2.47605,0.167911,mudstone
1723.03,1723.54,8.86561,91.5853,-8.33902,17.9785,16.7557,69.0725,2.47293,0.184273,silty mudstone
1723.54,1724.56,8.86253,99.7654,-9.81679,11.0925,11.1736,73.3647,2.39482,0.298967,mudstone
1724.56,1725.51,8.82249,93.2173,-12.7343,13.5501,13.0231,74.3842,2.3214,0.288726,silty mudstone
1725.51,1726.02,8.81017,112.561,-14.7166,9.24652,9.06769,75.7932,2.437,0.254236,mudstone
1726.02,1726.46,8.68388,98.7976,-15.7127,18.54,16.2262,71.5844,2.36358,0.267735,siltstone
1726.46,1727.04,8.84405,101.872,-16.0932,13.1541,12.1579,73.4182,2.44793,0.363956,mudstone
1727.04,1727.54,8.85637,98.4881,-14.2795,17.9093,16.1163,68.7098,2.44012,0.352855,siltstone
1727.54,1728.05,8.60996,109.455,-13.8826,11.0857,10.4304,74.8121,2.30265,0.319264,mudstone
1728.05,1729.2,8.1387,92.7019,-18.4877,15.6795,14.7002,75.1684,2.2839,0.213371,siltstone
1729.2,1730.03,9.37999,114.604,-15.4049,10.2746,8.75181,76.6127,2.42763,0.227101,mudstone
1730.03,1730.53,9.77732,91.7957,-14.0315,14.3856,15.3686,72.5719,2.34483,0.279097,siltstone
1730.53,1731.04,9.7958,106.381,-15.6202,7.84409,7.50201,78.8412,2.44169,0.291138,mudstone
1731.04,1732,9.52167,103.524,-14.8743,8.01499,9.1089,75.9954,2.41357,0.308769,siltstone
1732,1733.02,9.91593,125.359,-13.0496,3.92164,5.21758,85.4079,2.51042,0.326151,mudstone
