TopDepth,BotDepth,_CAL,_GR,_SP,_LLD,_LLS,_AC,_DEN,_PEF,Lith_Section
1693.33,1694.25,10.0775,132.644,-0.30534,6.22386,4.41136,101.299,2.44848,0.56874,mudstone
1694.25,1699.76,9.35651,115.357,-1.28215,9.39398,7.18415,89.5428,2.44848,0.636818,mudstone
1699.76,1700.56,9.43477,126.344,-1.26959,5.48881,4.82193,91.4601,2.48859,0.659271,mudstone
1700.56,1701.59,9.65911,133.566,-3.55969,4.76073,5.43217,95.2703,2.47813,0.673364,mudstone
1701.59,1702.44,10.0869,142.063,-2.85659,4.37927,4.39448,93.8391,2.4543,0.753455,mudstone
1702.44,1703.38,9.07164,101.09,-2.52764,23.886,20.6263,73.6296,2.4543,0.6938,siltstone
1703.38,1705.79,9.08103,119.452,0.859798,8.34714,10.1847,94.9354,2.42175,0.699792,silty mudstone
1705.79,1708.19,9.31581,114.066,1.12095,8.08761,6.85513,99.6111,2.42988,0.791878,mudstone
1708.19,1709.48,8.78782,92.4515,1.42981,14.4505,14.687,86.5404,2.40489,0.688384,siltstone
1709.48,1711.5,8.8066,119.763,-0.0466995,12.1652,8.8124,93.7086,2.43628,-0.14363,silty mudstone
1711.5,1712.26,8.70017,103.039,-1.16413,17.3175,18.4412,80.6748,2.41477,-0.857129,siltstone
1712.26,1713.43,8.64382,106.928,-2.03296,12.8411,13.9446,84.2409,2.46476,0.0396585,mudstone
1713.43,1714.18,8.90156,116.716,-1.8597,11.5399,14.4058,82.5411,2.46883,-0.324506,silty mudstone
1714.18,1715.75,9.75511,119.494,-0.779934,7.80892,5.56153,97.5159,2.45372,-0.21516,mudstone
1715.75,1716.5,9.14468,110.168,-1.42779,9.04562,8.82646,87.2518,2.46592,-0.156753,silty mudstone
1716.5,1718.38,9.66746,123.647,-1.00593,7.38566,7.14197,99.2554,2.42,-0.0950903,mudstone
1718.38,1719.46,9.22712,109.019,-1.26457,12.8341,15.0835,81.9376,2.47406,-0.0500245,muddy siltstone
1719.46,1721.44,9.18016,118.849,-1.77432,9.11355,12.3557,90.6873,2.47638,0.0569631,silty mudstone
1721.44,1722.67,9.54538,118.258,-1.59603,7.71486,12.0576,109.689,2.33921,0.0377961,mudstone
1722.67,1723.82,8.86399,87.6367,-2.4272,21.2941,26.1803,77.0236,2.33165,-0.00215486,siltstone
1723.82,1725.78,9.25216,105.575,-1.78688,12.5136,9.72635,98.545,2.42582,-0.0173492,mudstone
1725.78,1727,8.6386,114.278,-1.78185,10.3363,14.2118,95.3554,2.45895,0.0328326,silty mudstone
1727,1729.15,8.576,111.362,-0.252609,8.59448,9.70948,99.9138,2.44383,0.593475,mudstone
1729.15,1729.92,8.67512,123.665,0.0160751,12.9403,13.9755,85.8007,2.45081,0.50924,silty mudstone
1729.92,1733.93,8.71895,120.611,-0.247585,10.2475,8.75334,93.6272,2.43337,0.579185,mudstone
1733.93,1734.51,8.76591,96.5203,0.0185852,14.0586,12.8619,81.6907,2.46883,0.566412,mudstone
1734.51,1735.77,8.71373,112.876,-0.594112,11.3344,9.37201,104.953,2.4171,-0.186063,mudstone
1735.77,1737.03,8.77947,114.986,-1.31982,7.90124,10.1904,91.463,2.42349,-0.00837238,mudstone
1737.03,1739.47,8.63756,124.639,-1.06871,7.10696,6.93668,101.86,2.43918,0.00793529,mudstone
1739.47,1740,8.69704,138.432,-0.230007,7.15922,8.1431,99.1826,2.44674,-0.121827,mudstone
1740,1740.92,8.71478,129.474,-2.8365,6.96065,6.1774,98.9471,2.47871,0.101955,mudstone
1740.92,1742.49,8.73043,129.899,-3.02734,7.14354,8.63804,93.8117,2.47232,0.003627,mudstone
1742.49,1744.18,8.73043,130.311,-3.04492,6.45726,6.2477,99.7851,2.44848,-0.077888,mudstone
1744.18,1745,8.73043,126.485,-3.75304,10.3398,11.034,97.5244,2.4636,-0.219428,mudstone
1745,1745.81,8.72938,130.063,-3.83842,6.96936,8.8827,104.457,2.44267,-0.17965,mudstone
1745.81,1746.44,8.73565,100.334,-2.99721,9.50197,10.9271,95.5049,2.43802,-0.292414,mudstone
1746.44,1747.06,8.68556,100.334,-2.20874,9.50197,10.4069,100.868,2.4636,-0.339056,mudstone
1747.06,1747.69,8.68034,124.057,-2.14596,9.34173,12.2573,101.715,2.45023,-0.353464,mudstone
1747.69,1748.5,8.74086,129.949,-2.78377,8.50913,10.8259,108.058,2.43221,-0.316468,mudstone
1748.5,1749.38,8.77217,119.684,-1.53828,12.4526,15.4069,106.181,2.40664,-0.260448,mudstone
1749.38,1750,8.76278,124.477,-0.0140572,9.89214,9.64479,99.822,2.36479,-0.219904,mudstone
1750,1750.56,8.82225,118.682,-0.493671,8.15554,9.8079,92.809,2.40722,-0.164655,mudstone
1750.56,1751.19,8.79304,126.445,-0.666935,7.98659,8.94175,100.676,2.43279,-0.103723,mudstone
1751.19,1751.88,8.54678,114.192,1.15862,8.94981,11.0593,97.7334,2.44325,0.171258,mudstone
1751.88,1752.63,8.71686,122.727,0.822132,7.00245,7.11666,100.154,2.44151,-0.24346,mudstone
